Date,Open,High,Low,Close,Volume,Adj Close
2015-09-08,182.440002,182.440002,182.440002,182.440002,000,180.435167
2015-09-04,177.949997,177.949997,177.949997,177.949997,000,175.994503
2015-09-03,180.710007,180.710007,180.710007,180.710007,000,178.724183
2015-09-02,180.490005,180.490005,180.490005,180.490005,000,178.506599
2015-09-01,177.220001,177.220001,177.220001,177.220001,000,175.272529
2015-08-31,182.610001,182.610001,182.610001,182.610001,000,180.603297
2015-08-28,184.139999,184.139999,184.139999,184.139999,000,182.116483
2015-08-27,184.00,184.00,184.00,184.00,000,181.978022
2015-08-26,179.610001,179.610001,179.610001,179.610001,000,177.636264
2015-08-25,172.860001,172.860001,172.860001,172.860001,000,170.96044
2015-08-24,175.220001,175.220001,175.220001,175.220001,000,173.294507
2015-08-21,182.410004,182.410004,182.410004,182.410004,000,180.405498
2015-08-20,188.369995,188.369995,188.369995,188.369995,000,186.299995
2015-08-19,192.429993,192.429993,192.429993,192.429993,000,190.315377
2015-08-18,194.029999,194.029999,194.029999,194.029999,000,191.897801
2015-08-17,194.50,194.50,194.50,194.50,000,192.362637
2015-08-14,193.460007,193.460007,193.460007,193.460007,000,191.334073
2015-08-13,192.699997,192.699997,192.699997,192.699997,000,190.582415
2015-08-12,192.919998,192.919998,192.919998,192.919998,000,190.799998
2015-08-11,192.690002,192.690002,192.690002,192.690002,000,190.57253
2015-08-10,194.509995,194.509995,194.509995,194.509995,000,192.372522
2015-08-07,192.050003,192.050003,192.050003,192.050003,000,189.939564
2015-08-06,192.600006,192.600006,192.600006,192.600006,000,190.483523
2015-08-05,194.050003,194.050003,194.050003,194.050003,000,191.917586
2015-08-04,193.369995,193.369995,193.369995,193.369995,000,191.24505
2015-08-03,193.800003,193.800003,193.800003,193.800003,000,191.670333
2015-07-31,194.339996,194.339996,194.339996,194.339996,000,192.204392
2015-07-30,194.779999,194.779999,194.779999,194.779999,000,192.639559
2015-07-29,194.759995,194.759995,194.759995,194.759995,000,192.619775
2015-07-28,193.320007,193.320007,193.320007,193.320007,000,191.195612
2015-07-27,190.949997,190.949997,190.949997,190.949997,000,188.851645
2015-07-24,192.059998,192.059998,192.059998,192.059998,000,189.949448
2015-07-23,194.139999,194.139999,194.139999,194.139999,000,192.006593
2015-07-22,195.240005,195.240005,195.240005,195.240005,000,193.094511
2015-07-21,195.690002,195.690002,195.690002,195.690002,000,193.539563
2015-07-20,196.509995,196.509995,196.509995,196.509995,000,194.350544
2015-07-17,196.360001,196.360001,196.360001,196.360001,000,194.202199
2015-07-16,196.139999,196.139999,196.139999,196.139999,000,193.984615
2015-07-15,194.580002,194.580002,194.580002,194.580002,000,192.44176
2015-07-14,194.720001,194.720001,194.720001,194.720001,000,192.580221
2015-07-13,193.860001,193.860001,193.860001,193.860001,000,191.729671
2015-07-10,191.720001,191.720001,191.720001,191.720001,000,189.613188
2015-07-09,189.380005,189.380005,189.380005,189.380005,000,187.298906
2015-07-08,188.949997,188.949997,188.949997,188.949997,000,186.873623
2015-07-07,192.089996,192.089996,192.089996,192.089996,000,189.979117
2015-07-06,190.929993,190.929993,190.929993,190.929993,000,188.831861
2015-07-02,191.669998,191.669998,191.669998,191.669998,000,189.563735
2015-07-01,191.729996,191.729996,191.729996,191.729996,000,189.623073
2015-06-30,190.360001,190.360001,190.360001,190.360001,000,188.268133
2015-06-29,189.839996,189.839996,189.839996,189.839996,000,187.753843
2015-06-26,193.839996,193.839996,193.839996,193.839996,000,191.709887
2015-06-25,193.880005,193.880005,193.880005,193.880005,000,191.749456
2015-06-24,194.449997,194.449997,194.449997,194.449997,000,192.313184
2015-06-23,195.889999,195.889999,195.889999,195.889999,000,193.737362
2015-06-22,195.75,195.75,195.75,195.75,000,193.598901
2015-06-19,194.559998,194.559998,194.559998,194.559998,000,192.421976
2015-06-18,196.509995,196.509995,196.509995,196.509995,000,193.451532
2015-06-17,194.559998,194.559998,194.559998,194.559998,000,191.531884
2015-06-16,194.169998,194.169998,194.169998,194.169998,000,191.147955
2015-06-15,193.070007,193.070007,193.070007,193.070007,000,190.065084
2015-06-12,193.960007,193.960007,193.960007,193.960007,000,190.941232
2015-06-11,195.320007,195.320007,195.320007,195.320007,000,192.280065
2015-06-10,194.919998,194.919998,194.919998,194.919998,000,191.886282
2015-06-09,192.589996,192.589996,192.589996,192.589996,000,189.592544
2015-06-08,192.509995,192.509995,192.509995,192.509995,000,189.513787
2015-06-05,193.729996,193.729996,193.729996,193.729996,000,190.7148
2015-06-04,194.00,194.00,194.00,194.00,000,190.980602
2015-06-03,195.679993,195.679993,195.679993,195.679993,000,192.634448
2015-06-02,195.229996,195.229996,195.229996,195.229996,000,192.191455
2015-06-01,195.419998,195.419998,195.419998,195.419998,000,192.3785
2015-05-29,195.00,195.00,195.00,195.00,000,191.965038
2015-05-28,196.229996,196.229996,196.229996,196.229996,000,193.175891
2015-05-27,196.449997,196.449997,196.449997,196.449997,000,193.392468
2015-05-26,194.639999,194.639999,194.639999,194.639999,000,191.610641
2015-05-22,196.649994,196.649994,196.649994,196.649994,000,193.589352
2015-05-21,197.089996,197.089996,197.089996,197.089996,000,194.022506
2015-05-20,196.610001,196.610001,196.610001,196.610001,000,193.549981
2015-05-19,196.770004,196.770004,196.770004,196.770004,000,193.707495
2015-05-18,196.860001,196.860001,196.860001,196.860001,000,193.79609
2015-05-15,196.25,196.25,196.25,196.25,000,193.195584
2015-05-14,196.070007,196.070007,196.070007,196.070007,000,193.018392
2015-05-13,193.960007,193.960007,193.960007,193.960007,000,190.941232
2015-05-12,193.990005,193.990005,193.990005,193.990005,000,190.970763
2015-05-11,194.539993,194.539993,194.539993,194.539993,000,191.512191
2015-05-08,195.50,195.50,195.50,195.50,000,192.457257
2015-05-07,192.899994,192.899994,192.899994,192.899994,000,189.897717
2015-05-06,192.119995,192.119995,192.119995,192.119995,000,189.129858
2015-05-05,192.910004,192.910004,192.910004,192.910004,000,189.907571
2015-05-04,195.210007,195.210007,195.210007,195.210007,000,192.171777
2015-05-01,194.630005,194.630005,194.630005,194.630005,000,191.600802
2015-04-30,192.529999,192.529999,192.529999,192.529999,000,189.53348
2015-04-29,194.490005,194.490005,194.490005,194.490005,000,191.462981
2015-04-28,195.210007,195.210007,195.210007,195.210007,000,192.171777
2015-04-27,194.649994,194.649994,194.649994,194.649994,000,191.62048
2015-04-24,195.460007,195.460007,195.460007,195.460007,000,192.417886
2015-04-23,195.020004,195.020004,195.020004,195.020004,000,191.984731
